0.000000000000000000e+00 -1.828152768437768527e-02 7.970984626842439469e-02 2.824243664557358341e-02 -4.851745132550078915e-02 -8.127926768958317755e-03 -3.611507874375930079e-03 3.203004960991685281e-03 1.676726966867365595e-03 -2.728527416609743164e-05
1.000000000000000056e-01 -5.293652806511501413e-02 1.029156170133300498e-02 4.496224609351927304e-02 -3.824832630500293700e-03 -1.674480618453616509e-02 -8.637809111350841507e-03 -1.050041437887473672e-02 -6.144401145459294639e-03 -9.341821418889399015e-03
2.000000000000000111e-01 -1.491917409532964589e-01 1.427219795401304669e-01 -5.824401034827716983e-02 -1.098570206802242100e-02 -2.340132030555835962e-02 -1.941283681947050810e-02 -1.570907727927904965e-02 -1.518889611700624705e-02 -1.431631056572246589e-02
3.000000000000000444e-01 2.810477940985665890e-02 -9.641543996307266884e-02 -4.152517400162160366e-02 -2.815675769574838005e-02 -1.456122191034393484e-02 -1.823422179126843803e-02 -1.585680815660471532e-02 -2.043946174597867718e-02 -1.928362475964410030e-02
4.000000000000000222e-01 1.818401119711241312e-02 -3.900437733843853394e-02 1.074968258823806241e-02 -3.001996803395674818e-02 -2.087468507582570729e-02 -2.692174906363676776e-02 -1.907713266873948058e-02 -1.998694347345379013e-02 -2.037267678643666508e-02
5.000000000000000000e-01 -5.226106854720826561e-03 1.189118236640875764e-02 -6.495774556176274472e-02 -2.188956295074151459e-03 -1.659277883980980750e-02 -2.893770842004400601e-02 -2.199876850747698245e-02 -2.001418460613329370e-02 -2.156276637449891509e-02
6.000000000000000888e-01 -5.806087946925639343e-02 -5.437506265508348924e-02 2.011217166195784084e-02 -2.588202390569287886e-02 -2.760449368899645789e-02 -1.899759271169330910e-02 -1.395071010076643497e-02 -1.436963887479658294e-02 -1.673509963749120200e-02
7.000000000000000666e-01 1.314384615110426313e-01 2.086722223058683906e-02 -2.775172917182081034e-02 -4.840657450771474607e-02 -1.901358345832113855e-02 -1.724831592525062629e-02 -1.300863606766301285e-02 -9.235004665101532659e-03 -1.173907357037623847e-02
8.000000000000000444e-01 2.801002823804573522e-02 -3.674504395604369367e-02 3.960079689157744443e-02 1.743606776281345083e-02 -2.017533492512858101e-02 8.645941889777178022e-04 -4.843918518625043960e-03 -2.765564011020404944e-03 -5.102186205259984231e-03
9.000000000000000222e-01 1.454907492008577358e-02 4.553781292854870710e-02 4.501015802432318386e-02 -5.460838738548025664e-03 1.688925840656487626e-02 4.790226279721157554e-03 3.465280511308554794e-03 4.303191047813599915e-03 6.449508103709518034e-03
